运动量,活跃时长,活跃状态,温度,电压,时间
192805,138858,0,3537,3151,2021-11-11 06:51:29
192850,138858,4,3541,3154,2021-11-11 06:56:29
192851,138858,4,3572,3149,2021-11-11 07:01:30
192851,138858,4,3579,3150,2021-11-11 07:06:30
192852,138858,4,3588,3151,2021-11-11 07:11:30
192937,138886,0,3548,3156,2021-11-11 07:16:30
193047,138929,0,3546,3154,2021-11-11 07:21:31
193112,138981,4,3534,3150,2021-11-11 07:26:31
193137,138981,4,3516,3149,2021-11-11 07:31:31
193147,138981,4,3510,3148,2021-11-11 07:36:32
193267,139008,4,3505,3152,2021-11-11 07:41:32
193427,139066,4,3541,3150,2021-11-11 07:46:32
193481,139102,4,3550,3151,2021-11-11 07:51:33
193481,139102,4,3583,3152,2021-11-11 07:56:33
193485,139102,4,3599,3154,2021-11-11 08:01:33
193494,139102,4,3594,3151,2021-11-11 08:06:34
193498,139102,4,3621,3155,2021-11-11 08:11:34
193565,139114,4,3570,3152,2021-11-11 08:16:34
193572,139114,4,3603,3154,2021-11-11 08:21:34
193628,139124,4,3534,3148,2021-11-11 08:26:35
193737,139124,4,3507,3154,2021-11-11 08:31:35
193804,139148,4,3567,3151,2021-11-11 08:36:35
193806,139148,4,3588,3144,2021-11-11 08:41:36
193813,139148,4,3594,3149,2021-11-11 08:46:36
193814,139148,4,3617,3150,2021-11-11 08:51:36
193814,139148,4,3624,3148,2021-11-11 08:56:47
193842,139148,4,3574,3149,2021-11-11 09:01:37
193964,139204,0,3576,3150,2021-11-11 09:06:47
194006,139233,4,3546,3149,2021-11-11 09:11:38
194006,139233,4,3570,3151,2021-11-11 09:16:38
194029,139233,4,3590,3152,2021-11-11 09:21:48
194033,139233,4,3594,3154,2021-11-11 09:26:39
194033,139233,4,3602,3149,2021-11-11 09:31:39
194045,139233,4,3604,3153,2021-11-11 09:36:39
194062,139233,4,3622,3150,2021-11-11 09:41:40
194091,139243,4,3653,3152,2021-11-11 09:46:40
194094,139243,4,3667,3153,2021-11-11 09:51:40
194094,139243,4,3663,3154,2021-11-11 09:56:41
194096,139243,4,3659,3154,2021-11-11 10:01:41
194096,139243,4,3659,3151,2021-11-11 10:06:41
194098,139243,4,3655,3153,2021-11-11 10:11:41
194100,139243,4,3649,3150,2021-11-11 10:16:42
194100,139243,4,3655,3155,2021-11-11 10:21:42
194104,139243,4,3659,3153,2021-11-11 10:26:42
194107,139243,4,3660,3152,2021-11-11 10:31:43
194107,139243,4,3672,3151,2021-11-11 10:36:43
194157,139243,4,3661,3152,2021-11-11 10:41:43
194190,139256,4,3668,3152,2021-11-11 10:46:44
194215,139266,4,3682,3155,2021-11-11 10:51:44
194237,139266,4,3687,3149,2021-11-11 10:56:44
194243,139266,4,3682,3152,2021-11-11 11:01:45
194279,139266,4,3667,3153,2021-11-11 11:06:45
194296,139266,4,3655,3151,2021-11-11 11:11:45
194323,139277,4,3659,3152,2021-11-11 11:16:46
194348,139288,4,3663,3151,2021-11-11 11:21:46
194363,139288,4,3666,3150,2021-11-11 11:26:46
194378,139288,4,3667,3153,2021-11-11 11:31:47
194389,139288,4,3667,3151,2021-11-11 11:36:39
194390,139288,4,3666,3152,2021-11-11 11:41:40
194400,139288,4,3667,3150,2021-11-11 11:46:41
194442,139301,4,3619,3156,2021-11-11 11:51:43
194505,139301,4,3572,3155,2021-11-11 11:56:44
194507,139301,4,3604,3153,2021-11-11 12:01:45
194569,139321,4,3599,3152,2021-11-11 12:06:46
194633,139352,4,3572,3154,2021-11-11 12:11:47
194721,139362,4,3561,3151,2021-11-11 12:16:49
194737,139362,4,3592,3152,2021-11-11 12:21:50
194865,139394,4,3563,3149,2021-11-11 12:26:51
194923,139424,4,3476,3154,2021-11-11 12:31:52
194923,139424,4,3462,3149,2021-11-11 12:36:53
194948,139424,4,3451,3146,2021-11-11 12:41:54
195032,139449,4,3464,3150,2021-11-11 12:46:56
195104,139468,4,3494,3149,2021-11-11 12:51:57
195104,139468,4,3514,3151,2021-11-11 12:56:58
195104,139468,4,3527,3152,2021-11-11 13:01:59
195121,139468,4,3514,3153,2021-11-11 13:07:00
195165,139468,4,3507,3151,2021-11-11 13:12:02
195170,139468,4,3516,3148,2021-11-11 13:17:03
195317,139612,0,3563,3149,2021-11-11 13:22:04
195617,139912,0,3546,3150,2021-11-11 13:27:05
195917,140212,0,3552,3148,2021-11-11 13:32:06
196217,140512,0,3561,3151,2021-11-11 13:37:08
196498,140770,0,3561,3153,2021-11-11 13:42:09
196737,140921,0,3541,3151,2021-11-11 13:47:10
196927,141061,0,3555,3147,2021-11-11 13:52:11
197164,141244,0,3563,3150,2021-11-11 13:57:12
197408,141401,0,3550,3149,2021-11-11 14:02:13
197608,141487,0,3543,3149,2021-11-11 14:07:15
197789,141582,0,3543,3150,2021-11-11 14:12:16
197920,141610,4,3386,3147,2021-11-11 14:17:27
198105,141655,0,3550,3150,2021-11-11 14:22:18
198253,141717,4,3559,3152,2021-11-11 14:27:19
198376,141737,4,3575,3152,2021-11-11 14:32:21
198379,141737,4,3581,3152,2021-11-11 14:37:22
198381,141737,4,3581,3151,2021-11-11 14:42:23
198381,141737,4,3592,3151,2021-11-11 14:47:24
198410,141752,4,3560,3148,2021-11-11 14:53:06
198425,141752,4,3526,3148,2021-11-11 14:58:27
198583,141791,0,3529,3153,2021-11-11 15:05:28
198590,141791,4,3539,3148,2021-11-11 15:12:30
198607,141791,4,3597,3151,2021-11-11 15:19:12
198609,141791,4,3592,3147,2021-11-11 15:25:03
198609,141791,4,3613,3153,2021-11-11 15:30:04
198614,141791,4,3613,3151,2021-11-11 15:35:06
198617,141791,4,3620,3150,2021-11-11 15:40:07
198618,141791,4,3639,3150,2021-11-11 15:45:18
198618,141791,4,3637,3154,2021-11-11 15:50:29
198618,141791,4,3639,3151,2021-11-11 15:55:10
198622,141791,4,3633,3151,2021-11-11 16:00:11
198646,141791,4,3639,3152,2021-11-11 16:05:13
198680,141801,4,3650,3150,2021-11-11 16:10:54
198682,141801,4,3639,3155,2021-11-11 16:17:46
198705,141801,4,3583,3151,2021-11-11 16:22:47
198705,141801,4,3538,3150,2021-11-11 16:27:48
198766,141801,4,3503,3152,2021-11-11 16:32:49
198929,141854,0,3527,3151,2021-11-11 16:38:00
199103,141943,0,3555,3148,2021-11-11 16:44:22
199105,141943,4,3583,3148,2021-11-11 16:50:23
199167,142004,0,3544,3152,2021-11-11 16:55:34
199167,142004,4,3574,3150,2021-11-11 17:00:26
199181,142004,4,3550,3147,2021-11-11 17:07:27
199185,142004,4,3611,3156,2021-11-11 17:12:59
199188,142004,4,3655,3152,2021-11-11 17:18:30
199189,142004,4,3664,3151,2021-11-11 17:25:32
199189,142004,4,3678,3153,2021-11-11 17:30:33
199190,142004,4,3668,3152,2021-11-11 17:35:34
199193,142004,4,3668,3152,2021-11-11 17:40:35
199222,142004,4,3675,3152,2021-11-11 17:45:36
199225,142004,4,3666,3150,2021-11-11 17:50:38
199226,142004,4,3666,3152,2021-11-11 17:55:39
199226,142004,4,3672,3158,2021-11-11 18:00:40
199226,142004,4,3663,3155,2021-11-11 18:05:41
199411,142179,0,3576,3155,2021-11-11 18:10:42
199710,142478,0,3563,3153,2021-11-11 18:15:44
200010,142778,0,3581,3151,2021-11-11 18:20:45
200307,143073,0,3579,3151,2021-11-11 18:25:46
200536,143274,0,3565,3154,2021-11-11 18:30:47
200749,143413,0,3559,3151,2021-11-11 18:35:48
200998,143572,0,3548,3150,2021-11-11 18:40:49
201072,143612,4,3555,3149,2021-11-11 18:46:01
201076,143612,4,3588,3150,2021-11-11 18:51:02
201085,143612,4,3619,3153,2021-11-11 18:56:13
201107,143612,4,3611,3151,2021-11-11 19:00:54
201107,143612,4,3650,3151,2021-11-11 19:05:55
201108,143612,4,3663,3148,2021-11-11 19:11:47
201113,143612,4,3678,3153,2021-11-11 19:18:28
201116,143612,4,3675,3154,2021-11-11 19:23:30
201120,143612,4,3664,3150,2021-11-11 19:28:31
201127,143612,4,3672,3152,2021-11-11 19:33:32
201127,143612,4,3672,3153,2021-11-11 19:40:24
201143,143612,4,3691,3150,2021-11-11 19:46:05
201144,143612,4,3678,3151,2021-11-11 19:51:06
201148,143612,4,3666,3152,2021-11-11 19:56:07
201172,143612,4,3664,3154,2021-11-11 20:01:18
